"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_reset_feedback","count_sketchpad","count_test","count_trial_sequence","datetime","description","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_correct","response_instructions","response_keyboard_response","response_time","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimuli_image","subject_nr","subject_parity","time_block_loop","time_experimental_loop","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_sketchpad","title","total_correct","total_response_time","total_responses","trials","uniform_coordinates","width"
"25","25","17","17","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","22","22","0","1","22","0","22","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","15","780","15","2","legacy","1024","2","48000","-16","experiment","blauw2.jpg","0","even","3744","1107","1107","3978","4009","1107","3978","Extended template","2","139","8","16","yes","800"
"22","22","48","48","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","23","23","0","1","23","0","23","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","296","780","296","2","legacy","1024","2","48000","-16","experiment","geel4.jpg","0","even","3744","1107","1107","4009","4337","1107","4009","Extended template","2","435","9","16","yes","800"
"20","20","56","56","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","24","24","0","1","24","0","24","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","124","780","124","2","legacy","1024","2","48000","-16","experiment","geel2.jpg","0","even","3744","1107","1107","4337","4493","1107","4337","Extended template","2","559","10","16","yes","800"
"18","18","62","62","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","25","25","0","1","25","0","25","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","124","780","124","2","legacy","1024","2","48000","-16","experiment","groen4.jpg","0","even","3744","1107","1107","4493","4649","1107","4493","Extended template","2","683","11","16","yes","800"
"17","17","67","67","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","26","26","0","1","26","0","26","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","124","780","124","2","legacy","1024","2","48000","-16","experiment","rood3.jpg","0","even","3744","1107","1107","4649","4805","1107","4649","Extended template","2","807","12","16","yes","800"
"15","15","68","68","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","27","27","0","1","27","0","27","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","78","780","78","2","legacy","1024","2","48000","-16","experiment","rood4.jpg","0","even","3744","1107","1107","4805","4914","1107","4805","Extended template","2","885","13","16","yes","800"
"14","14","72","72","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","28","28","0","1","28","0","28","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","125","780","125","2","legacy","1024","2","48000","-16","experiment","blauw4.jpg","0","even","3744","1107","1107","4914","5070","1107","4914","Extended template","2","1010","14","16","yes","800"
"13","13","76","76","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","1","1","0","0","0","0","0","29","29","0","1","29","0","29","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","9","space","1","125","780","125","2","legacy","1024","2","48000","-16","experiment","blauw3.jpg","0","even","3744","1107","1107","5070","5226","1107","5070","Extended template","2","1135","15","16","yes","800"
"19","19","79","79","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","30","30","0","1","30","0","30","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","space","1","125","780","125","2","legacy","1024","2","48000","-16","experiment","groen1.jpg","0","even","3744","1107","1107","5226","5382","1107","5226","Extended template","3","1260","16","16","yes","800"
"24","24","81","81","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","1","1","0","0","0","0","0","31","31","0","1","31","0","31","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","no","0","1","1","space","1","125","780","125","2","legacy","1024","2","48000","-16","experiment","geel1.jpg","0","even","3744","1107","1107","5382","5538","1107","5382","Extended template","4","1385","17","16","yes","800"
w1.jpg","0","even","6193","1747","1747","8361","8486","1747","8361","Extended template","12","6369","48","16","yes","800"
